player,rollout,avg_eval,eval_volatility,max_swing,outlier_flagged
Hikaru,40,933.6,3064.54,10252,1
Hikaru,41,-111.25,194.53,547,0
Hikaru,42,55.6,120.86,483,0
Hikaru,43,-45.25,232.37,801,0
Hikaru,44,362.9,322.77,768,0
Hikaru,45,122.85,329.02,979,0
Hikaru,46,-43.2,219.47,887,0
Hikaru,47,-92.1,178.91,796,0
Hikaru,48,-7.2,84.69,422,0
Hikaru,49,-393.9,363.69,533,0
Hikaru,50,250.4,337.65,1027,1
Hikaru,51,4,159.17,583,0
Hikaru,52,282.05,1594.95,9769,1
Hikaru,53,222.8,1595.83,9964,1
Hikaru,54,-250.72,283.25,679,0
Hikaru,55,-52.33,296.25,1420,1
Hikaru,56,43.48,128.99,507,0
Hikaru,57,254.6,218.31,554,0
Hikaru,58,-2.33,240.39,650,0
Hikaru,59,452.5,2235.58,10168,1
Hikaru,60,264.62,248.7,450,0
Hikaru,61,-111.47,235.5,510,0
Hikaru,62,-389.57,272.62,444,0
Hikaru,63,-174.28,301.88,613,0
Hikaru,64,3.02,109.72,230,0
Hikaru,65,-151.88,307.76,810,0
Hikaru,66,261.68,277.08,770,0
Hikaru,67,-161.78,321.9,991,0
Hikaru,68,-99.58,191.93,525,0
Hikaru,69,170.9,299.13,1078,1
Hikaru,70,325.6,279.73,863,0
Hikaru,71,115.47,244.13,991,0
Hikaru,72,-91.2,188.93,551,0
Hikaru,73,47.6,184.2,920,0
Hikaru,74,236.15,205.98,454,0
Hikaru,75,-127.65,338.95,621,0
Hikaru,76,-24.2,225.06,734,0
Hikaru,77,-30.05,340.26,1079,1
Hikaru,78,197.22,225.81,561,0
Hikaru,79,182.4,346.64,748,0
Hikaru,80,-164.05,213.42,578,0
alireza2003,1,182.8,202.7,697,0
alireza2003,2,256.02,335.45,537,0
alireza2003,3,890.42,2633.78,9719,1
alireza2003,4,-73.2,230.41,640,0
alireza2003,5,-18.95,377.97,1131,1
alireza2003,6,80.97,225.31,635,0
alireza2003,7,-78.55,432.65,1586,1
alireza2003,8,-15.43,298.87,1134,1
alireza2003,9,-116.38,319.32,850,0
alireza2003,10,-61.75,322.63,1053,1
alireza2003,11,171.65,216.91,572,0
alireza2003,12,334.18,247.27,439,0
alireza2003,13,27.68,347.54,1098,1
alireza2003,14,-79.7,272.73,1194,1
alireza2003,15,-111.25,290.26,638,0
alireza2003,16,113.35,270.68,1014,1
alireza2003,17,171.47,291.95,1009,1
alireza2003,18,228.8,222.83,687,0
alireza2003,19,94.5,297.85,1020,1
alireza2003,20,-178.95,347.22,1185,1
alireza2003,21,-166.07,237.84,467,0
alireza2003,22,327.98,248.0,511,0
alireza2003,23,-79.58,277.94,940,0
alireza2003,24,1593.55,3238.72,9297,1
alireza2003,25,-183.57,315.37,1074,1
alireza2003,26,-251.93,242.88,435,0
alireza2003,27,125.5,245.73,720,0
alireza2003,28,-20.45,247.05,983,0
alireza2003,29,333.4,2265.8,10793,1
alireza2003,30,-44.73,357.0,1150,1
alireza2003,31,-57.3,312.45,971,0
alireza2003,32,28.05,187.65,687,0
alireza2003,33,188.88,258.8,581,0
alireza2003,34,164.9,268.27,910,0
alireza2003,35,269.65,244.94,598,0
alireza2003,36,-140,185.06,604,0
alireza2003,37,449.7,1569.96,9704,1
alireza2003,38,25.18,258.32,930,0
alireza2003,39,212.95,275.51,514,0
alireza2003,40,37.4,239.75,752,0
alireza2003,41,-168.32,357.66,854,0
alireza2003,42,-74.65,354.94,1062,1
alireza2003,43,-24.57,238.05,937,0
alireza2003,44,-154.62,241.09,466,0
alireza2003,45,51.4,393.72,1100,1
alireza2003,46,123.83,195.77,640,0
alireza2003,47,358.02,306.22,576,0
alireza2003,48,72.9,242.56,610,0
alireza2003,49,213.2,212.14,397,0
alireza2003,50,78.8,314.13,871,0
alireza2003,51,480.3,1565.33,9472,1
alireza2003,52,-246.1,264.61,439,0
alireza2003,53,-73.88,240.44,622,0
alireza2003,54,150.95,236.52,728,0
alireza2003,55,213.3,213.04,329,0
alireza2003,56,417.55,1582.41,9354,1
alireza2003,57,426.75,1568.22,9363,1
alireza2003,58,33.65,242.74,898,0
alireza2003,59,51.33,166.66,536,0
alireza2003,60,232.9,257.87,736,0
alireza2003,61,225,235.31,574,0
alireza2003,62,-233.78,282.14,1075,1
alireza2003,63,90.12,171.32,528,0
alireza2003,64,-61.5,246.65,976,0
alireza2003,65,-63.02,195.55,764,0
alireza2003,66,418.07,1584.17,9753,1
alireza2003,67,253.07,225.31,764,0
alireza2003,68,72.58,226.06,866,0
alireza2003,69,21.68,116.74,772,0
alireza2003,70,-239.72,281.39,930,0
alireza2003,71,-274.93,241.81,430,0
alireza2003,72,303.75,228.4,585,0
alireza2003,73,-253.3,312.16,870,0
alireza2003,74,-19.4,252.73,880,0
alireza2003,75,233.35,226.85,604,0
alireza2003,76,1191.1,3389.8,10340,1
alireza2003,77,-109.88,182.05,474,0
alireza2003,78,439.2,310.17,575,0
alireza2003,79,7.9,184.95,907,0
alireza2003,80,-123.25,234.72,480,0
lachesisQ,1,16.75,318.3,536,0
lachesisQ,2,202.78,309.55,924,0
lachesisQ,3,167.82,1614.77,10278,1
lachesisQ,4,-24.02,333.57,995,0
lachesisQ,5,208.7,263.24,955,0
lachesisQ,6,23.32,250.6,1004,1
lachesisQ,7,-50,264.02,830,0
lachesisQ,8,-202.43,347.45,1213,1
lachesisQ,9,-139.2,264.87,1114,1
lachesisQ,10,61.35,385.24,1266,1
lachesisQ,11,-377.68,377.51,428,0
lachesisQ,12,41.58,194.22,791,0
lachesisQ,13,186.25,207.77,707,0
lachesisQ,14,106.2,269.79,941,0
lachesisQ,15,-12.38,244.43,782,0
lachesisQ,16,55.95,295.17,1010,1
lachesisQ,17,-47.42,316.16,1143,1
lachesisQ,18,245.28,253.85,557,0
lachesisQ,19,173.68,405.57,716,0
lachesisQ,20,15.2,393.36,1188,1
lachesisQ,21,204.88,257.51,975,0
lachesisQ,22,87.4,176.38,685,0
lachesisQ,23,2.77,384.85,791,0
lachesisQ,24,-103.42,330.12,1013,1
lachesisQ,25,-50.42,172.17,466,0
lachesisQ,26,296.8,285.73,462,0
lachesisQ,27,77.5,154.89,716,0
lachesisQ,28,105.12,285.86,1126,1
lachesisQ,29,26,178.02,930,0
lachesisQ,30,-180.93,251.6,625,0
lachesisQ,31,134.6,222.79,939,0
lachesisQ,32,185.62,315.28,936,0
lachesisQ,33,-35.2,210.12,514,0
lachesisQ,34,40.02,226.74,839,0
lachesisQ,35,440.1,314.59,479,0
lachesisQ,36,-129.28,263.58,1013,1
lachesisQ,37,36.73,286.65,1480,1
lachesisQ,38,61,100.38,224,0
lachesisQ,39,-32.12,319.22,1038,1
lachesisQ,40,23.95,125.25,715,0
lachesisQ,41,128.05,280.98,884,0
lachesisQ,42,-5.83,119.85,407,0
lachesisQ,43,-72.62,175.38,466,0
lachesisQ,44,122.65,237.95,960,0
lachesisQ,45,30.73,313.77,665,0
lachesisQ,46,209.25,226.51,797,0
lachesisQ,47,79,196.97,748,0
lachesisQ,48,475.35,2224.32,10214,1
lachesisQ,49,-69.47,227.31,529,0
lachesisQ,50,12.88,333.69,1067,1
lachesisQ,51,-43.83,278.02,893,0
lachesisQ,52,333.12,336.55,1054,1
lachesisQ,53,-76.28,265.84,736,0
lachesisQ,54,-156.43,170.55,559,0
lachesisQ,55,-329.43,386.93,508,0
lachesisQ,56,-52.9,410.5,1127,1
lachesisQ,57,69.05,217.06,838,0
lachesisQ,58,-66.38,268.0,631,0
lachesisQ,59,174.15,258.14,562,0
lachesisQ,60,38.9,180.73,747,0
lachesisQ,61,-31.57,272.42,939,0
lachesisQ,62,35.23,274.44,619,0
lachesisQ,63,235.5,215.35,507,0
lachesisQ,64,52.92,320.15,749,0
lachesisQ,65,251.15,226.07,530,0
lachesisQ,66,298.88,339.61,471,0
lachesisQ,67,130.85,151.8,509,0
lachesisQ,68,324.85,250.87,419,0
lachesisQ,69,295.4,285.91,551,0
lachesisQ,70,-232.1,284.91,519,0
lachesisQ,71,-12.35,315.49,969,0
lachesisQ,72,38.25,255.92,786,0
lachesisQ,73,-48.85,308.02,1252,1
lachesisQ,74,268.9,253.51,763,0
lachesisQ,75,-4.78,132.26,677,0
lachesisQ,76,-31.2,241.36,1238,1
lachesisQ,77,140.47,247.79,612,0
lachesisQ,78,75.83,203.55,696,0
lachesisQ,79,107.55,135.7,968,0
lachesisQ,80,-10.45,215.57,697,0
